update,mean_loss,lr
1,18.30629587173462,1.4285714285714285e-05
2,17.987388134002686,2.857142857142857e-05
3,17.510743618011475,4.2857142857142856e-05
4,17.86570453643799,5.714285714285714e-05
5,17.804803371429443,7.142857142857143e-05
6,17.989099979400635,8.571428571428571e-05
7,16.527547359466553,0.0001
8,16.846449375152588,9.958847736625515e-05
9,15.976853132247925,9.91769547325103e-05
10,14.081288814544678,9.876543209876543e-05
11,12.885815620422363,9.835390946502057e-05
12,11.487748861312866,9.794238683127573e-05
13,10.504273653030396,9.753086419753087e-05
14,9.942677736282349,9.711934156378602e-05
15,8.601796865463257,9.670781893004116e-05
16,7.801855206489563,9.62962962962963e-05
17,6.731793165206909,9.588477366255144e-05
18,6.2483919858932495,9.547325102880659e-05
19,5.579678535461426,9.506172839506173e-05
20,4.856143355369568,9.465020576131688e-05
21,4.021323382854462,9.423868312757202e-05
22,3.264229953289032,9.382716049382717e-05
23,2.2185675501823425,9.341563786008231e-05
24,1.473334014415741,9.300411522633746e-05
25,1.238502711057663,9.25925925925926e-05
26,0.6218646466732025,9.218106995884775e-05
27,0.517777107656002,9.176954732510289e-05
28,0.3775481656193733,9.135802469135802e-05
29,0.410601869225502,9.094650205761317e-05
30,0.3646114021539688,9.053497942386831e-05
31,0.39242491871118546,9.012345679012346e-05
32,0.27506428211927414,8.97119341563786e-05
33,0.26307570934295654,8.930041152263375e-05
34,0.3680988922715187,8.888888888888889e-05
35,0.2957090437412262,8.847736625514404e-05
36,0.3025592006742954,8.806584362139918e-05
37,0.2548171989619732,8.765432098765433e-05
38,0.3272377848625183,8.724279835390947e-05
39,0.2248723842203617,8.683127572016462e-05
40,0.21415353938937187,8.641975308641975e-05
41,0.19240130484104156,8.60082304526749e-05
42,0.19909116998314857,8.559670781893004e-05
43,0.206417977809906,8.518518518518518e-05
44,0.20146426558494568,8.477366255144033e-05
45,0.23105544596910477,8.436213991769549e-05
46,0.2023080624639988,8.395061728395062e-05
47,0.19223524443805218,8.353909465020576e-05
48,0.19256406649947166,8.312757201646091e-05
49,0.22402924299240112,8.271604938271605e-05
50,0.2600027397274971,8.23045267489712e-05
51,0.1362192239612341,8.189300411522634e-05
52,0.12840734981000423,8.148148148148148e-05
53,0.14896314404904842,8.106995884773662e-05
54,0.16447051241993904,8.065843621399177e-05
55,0.11641234904527664,8.024691358024692e-05
56,0.19389737769961357,7.983539094650207e-05
57,0.15328922122716904,7.942386831275721e-05
58,0.11529788747429848,7.901234567901235e-05
59,0.1153093371540308,7.860082304526749e-05
60,0.15787412226200104,7.818930041152264e-05
61,0.1529242843389511,7.777777777777778e-05
62,0.2268783077597618,7.736625514403293e-05
63,0.1483023837208748,7.695473251028807e-05
64,0.13909108564257622,7.65432098765432e-05
65,0.12944424338638783,7.613168724279836e-05
66,0.15590422600507736,7.57201646090535e-05
67,0.15853544510900974,7.530864197530865e-05
68,0.15658404305577278,7.48971193415638e-05
69,0.12272785231471062,7.448559670781894e-05
70,0.16421533189713955,7.407407407407407e-05
71,0.13179987482726574,7.366255144032922e-05
72,0.1422447580844164,7.325102880658436e-05
73,0.12661586795002222,7.283950617283951e-05
74,0.11424096301198006,7.242798353909465e-05
75,0.1605019848793745,7.20164609053498e-05
76,0.09228398092091084,7.160493827160494e-05
77,0.15294616669416428,7.119341563786009e-05
78,0.12383726797997952,7.078189300411523e-05
79,0.14094089902937412,7.037037037037038e-05
80,0.12375929020345211,6.995884773662552e-05
81,0.1407248117029667,6.954732510288067e-05
82,0.1313808411359787,6.91358024691358e-05
83,0.11767797917127609,6.872427983539094e-05
84,0.14344020001590252,6.831275720164609e-05
85,0.15725085139274597,6.790123456790123e-05
86,0.1187775693833828,6.748971193415638e-05
87,0.14982572011649609,6.707818930041152e-05
88,0.16284571588039398,6.666666666666667e-05
89,0.16113746725022793,6.625514403292181e-05
90,0.15726128965616226,6.584362139917696e-05
91,0.11665052734315395,6.54320987654321e-05
92,0.1820415984839201,6.502057613168725e-05
93,0.09344674460589886,6.460905349794238e-05
94,0.08674903027713299,6.419753086419753e-05
95,0.1175940539687872,6.378600823045267e-05
96,0.08167220279574394,6.337448559670782e-05
97,0.0985627081245184,6.296296296296296e-05
98,0.13348085805773735,6.255144032921812e-05
99,0.0980102438479662,6.213991769547325e-05
100,0.12875716760754585,6.17283950617284e-05
101,0.12415202520787716,6.131687242798354e-05
102,0.14402643218636513,6.0905349794238687e-05
103,0.1606475468724966,6.049382716049383e-05
104,0.11380529217422009,6.0082304526748977e-05
105,0.13846198562532663,5.9670781893004115e-05
106,0.11530039831995964,5.925925925925926e-05
107,0.14523031003773212,5.8847736625514405e-05
108,0.09891645982861519,5.843621399176955e-05
109,0.1512785218656063,5.8024691358024695e-05
110,0.09294890984892845,5.761316872427984e-05
111,0.13311135210096836,5.720164609053498e-05
112,0.07020523026585579,5.679012345679012e-05
113,0.1284060813486576,5.637860082304527e-05
114,0.1364826988428831,5.596707818930041e-05
115,0.07184591982513666,5.555555555555556e-05
116,0.14139318093657494,5.51440329218107e-05
117,0.12098723370581865,5.473251028806584e-05
118,0.12339605391025543,5.4320987654320986e-05
119,0.13097493536770344,5.390946502057613e-05
120,0.14584362134337425,5.3497942386831277e-05
121,0.08841255772858858,5.308641975308642e-05
122,0.13910497725009918,5.267489711934157e-05
123,0.09830877184867859,5.2263374485596705e-05
124,0.09435409680008888,5.185185185185185e-05
125,0.1486095692962408,5.1440329218106995e-05
126,0.10767963901162148,5.102880658436214e-05
127,0.11200887523591518,5.061728395061729e-05
128,0.11408714205026627,5.020576131687244e-05
129,0.1477279420942068,4.9794238683127575e-05
130,0.10577875562012196,4.938271604938271e-05
131,0.10552037134766579,4.8971193415637865e-05
132,0.11316059902310371,4.855967078189301e-05
133,0.13475161604583263,4.814814814814815e-05
134,0.1191671546548605,4.773662551440329e-05
135,0.1143216397613287,4.732510288065844e-05
136,0.1299656629562378,4.691358024691358e-05
137,0.11754036694765091,4.650205761316873e-05
138,0.11313373409211636,4.609053497942387e-05
139,0.07956861332058907,4.567901234567901e-05
140,0.09263519663363695,4.5267489711934157e-05
141,0.09416177496314049,4.48559670781893e-05
142,0.11165586952120066,4.4444444444444447e-05
143,0.09684781357645988,4.403292181069959e-05
144,0.144786661490798,4.3621399176954737e-05
145,0.10085154511034489,4.3209876543209875e-05
146,0.08352580852806568,4.279835390946502e-05
147,0.10064000077545643,4.2386831275720165e-05
148,0.1091154869645834,4.197530864197531e-05
149,0.11631297506392002,4.1563786008230455e-05
150,0.12876147404313087,4.11522633744856e-05
151,0.07418888714164495,4.074074074074074e-05
152,0.11511822510510683,4.032921810699588e-05
153,0.08965970017015934,3.9917695473251035e-05
154,0.14004019275307655,3.950617283950617e-05
155,0.08383756317198277,3.909465020576132e-05
156,0.1070121880620718,3.868312757201646e-05
157,0.08573240041732788,3.82716049382716e-05
158,0.09377182088792324,3.786008230452675e-05
159,0.1091547217220068,3.74485596707819e-05
160,0.141244662925601,3.7037037037037037e-05
161,0.12699770368635654,3.662551440329218e-05
162,0.15286795422434807,3.6213991769547327e-05
163,0.12855315208435059,3.580246913580247e-05
164,0.10184995457530022,3.539094650205762e-05
165,0.07625788636505604,3.497942386831276e-05
166,0.1007088515907526,3.45679012345679e-05
167,0.09582746773958206,3.4156378600823045e-05
168,0.1254867184907198,3.374485596707819e-05
169,0.08388071414083242,3.3333333333333335e-05
170,0.08165443036705256,3.292181069958848e-05
171,0.09943296760320663,3.2510288065843625e-05
172,0.12122055888175964,3.209876543209876e-05
173,0.12313863728195429,3.168724279835391e-05
174,0.11437506694346666,3.127572016460906e-05
175,0.12123608961701393,3.08641975308642e-05
176,0.10854547470808029,3.0452674897119343e-05
177,0.10634248331189156,3.0041152263374488e-05
178,0.08610370382666588,2.962962962962963e-05
179,0.07202007854357362,2.9218106995884775e-05
180,0.13318268209695816,2.880658436213992e-05
181,0.1282667312771082,2.839506172839506e-05
182,0.09461899287998676,2.7983539094650207e-05
183,0.09507250413298607,2.757201646090535e-05
184,0.13017605245113373,2.7160493827160493e-05
185,0.1145209725946188,2.6748971193415638e-05
186,0.13970112055540085,2.6337448559670787e-05
187,0.12082040123641491,2.5925925925925925e-05
188,0.08516824804246426,2.551440329218107e-05
189,0.09478211123496294,2.510288065843622e-05
190,0.12566478364169598,2.4691358024691357e-05
191,0.089320482686162,2.4279835390946505e-05
192,0.09868594631552696,2.3868312757201647e-05
193,0.16592269763350487,2.345679012345679e-05
194,0.15718920342624187,2.3045267489711937e-05
195,0.09387572389096022,2.2633744855967078e-05
196,0.10550210997462273,2.2222222222222223e-05
197,0.15787223167717457,2.1810699588477368e-05
198,0.1593815330415964,2.139917695473251e-05
199,0.12386050447821617,2.0987654320987655e-05
200,0.08347477205097675,2.05761316872428e-05
201,0.12633000873029232,2.016460905349794e-05
202,0.10419240593910217,1.9753086419753087e-05
203,0.0643162652850151,1.934156378600823e-05
204,0.07902441266924143,1.8930041152263377e-05
205,0.05439178738743067,1.8518518518518518e-05
206,0.1392432004213333,1.8106995884773663e-05
207,0.11839248426258564,1.769547325102881e-05
208,0.09117287211120129,1.728395061728395e-05
209,0.10066627245396376,1.6872427983539095e-05
210,0.08614699449390173,1.646090534979424e-05
211,0.10407744720578194,1.604938271604938e-05
212,0.09649895131587982,1.563786008230453e-05
213,0.0978107824921608,1.5226337448559672e-05
214,0.06969274394214153,1.4814814814814815e-05
215,0.1377191711217165,1.440329218106996e-05
216,0.09663286432623863,1.3991769547325103e-05
217,0.1159437857568264,1.3580246913580247e-05
218,0.11564551806077361,1.3168724279835393e-05
219,0.2244668509811163,1.2757201646090535e-05
220,0.09598109871149063,1.2345679012345678e-05
221,0.06869369465857744,1.1934156378600823e-05
222,0.10562028270214796,1.1522633744855968e-05
223,0.11112724989652634,1.1111111111111112e-05
224,0.12500761821866035,1.0699588477366255e-05
225,0.11008622497320175,1.02880658436214e-05
226,0.11519834958016872,9.876543209876543e-06
227,0.12179692089557648,9.465020576131688e-06
228,0.12378330528736115,9.053497942386832e-06
229,0.11412673257291317,8.641975308641975e-06
230,0.11742610111832619,8.23045267489712e-06
231,0.1168479323387146,7.818930041152265e-06
232,0.06196041312068701,7.4074074074074075e-06
233,0.11044646613299847,6.995884773662552e-06
