update,mean_loss,lr
1,0.018504057079553604,2.8571428571428573e-06
2,0.011715050437487662,5.7142857142857145e-06
3,0.011120037117507309,8.571428571428571e-06
4,0.466973319882527,1.1428571428571429e-05
5,0.015533013734966516,1.4285714285714287e-05
6,0.09906119288643822,1.7142857142857142e-05
7,0.011066552746342495,2e-05
8,0.4008381023304537,1.991769547325103e-05
9,0.027379430714063346,1.983539094650206e-05
10,0.07070461138209794,1.9753086419753087e-05
11,0.06950918877555523,1.9670781893004115e-05
12,0.1003628566977568,1.9588477366255147e-05
13,0.0056798026780597866,1.9506172839506175e-05
14,0.004169199673924595,1.9423868312757203e-05
15,0.05260180627374211,1.934156378600823e-05
16,0.41530362394769327,1.925925925925926e-05
17,0.0016472850547870621,1.9176954732510288e-05
18,0.2828706131040235,1.9094650205761317e-05
19,0.0016342399321729317,1.901234567901235e-05
20,0.0031024728377815336,1.8930041152263377e-05
21,0.1814323546423111,1.8847736625514405e-05
22,0.3237312588025816,1.8765432098765433e-05
23,0.0032578859536442906,1.868312757201646e-05
24,0.3164681022753939,1.860082304526749e-05
25,0.20352392899803817,1.851851851851852e-05
26,0.011790726333856583,1.843621399176955e-05
27,0.008165633102180436,1.835390946502058e-05
28,0.3637329934281297,1.8271604938271607e-05
29,0.025075926329009235,1.8189300411522635e-05
30,0.0724363133776933,1.8106995884773663e-05
31,0.024256726494058967,1.802469135802469e-05
32,0.035448815673589706,1.7942386831275723e-05
33,0.015256057435180992,1.786008230452675e-05
34,0.0052360419649630785,1.7777777777777777e-05
35,0.021150243235751987,1.769547325102881e-05
36,0.02946403040550649,1.7613168724279837e-05
37,0.01402340698405169,1.7530864197530865e-05
38,0.5516946652205661,1.7448559670781893e-05
39,0.9287747892085463,1.7366255144032925e-05
40,0.008304545539431274,1.728395061728395e-05
41,0.029217720380984247,1.720164609053498e-05
42,0.028936414804775268,1.711934156378601e-05
43,0.017784128664061427,1.7037037037037038e-05
44,0.23266858013812453,1.6954732510288067e-05
45,0.03924561175517738,1.68724279835391e-05
46,0.018166460504289716,1.6790123456790123e-05
47,0.1120873533654958,1.670781893004115e-05
48,0.009393189218826592,1.6625514403292183e-05
49,0.0052421558066271245,1.654320987654321e-05
50,0.3036453720415011,1.646090534979424e-05
51,0.020264276419766247,1.6378600823045268e-05
52,0.026436751330038533,1.6296296296296297e-05
53,0.06639746768632904,1.6213991769547325e-05
54,0.010965565335936844,1.6131687242798357e-05
55,0.07070949705666862,1.6049382716049385e-05
56,0.2640899802208878,1.5967078189300413e-05
57,0.012877278932137415,1.588477366255144e-05
58,0.7955206586048007,1.580246913580247e-05
59,0.002369561232626438,1.5720164609053498e-05
60,0.14202949072932824,1.5637860082304527e-05
61,0.011314582792692818,1.555555555555556e-05
62,0.18721816048491746,1.5473251028806587e-05
63,0.02191457772278227,1.5390946502057615e-05
64,0.10787190165137872,1.5308641975308643e-05
65,0.07532862288644537,1.5226337448559672e-05
66,0.006445735169108957,1.51440329218107e-05
67,0.00889844745688606,1.506172839506173e-05
68,0.35314187631593086,1.4979423868312758e-05
69,0.032172941078897566,1.4897119341563788e-05
70,0.005523864791030064,1.4814814814814815e-05
71,0.00454261910635978,1.4732510288065845e-05
72,0.011328540262184106,1.4650205761316873e-05
73,0.009108111873501912,1.4567901234567903e-05
74,0.00979982478020247,1.4485596707818932e-05
75,0.03437247688998468,1.4403292181069962e-05
76,0.6750918785255635,1.4320987654320988e-05
77,0.028169384924694896,1.4238683127572017e-05
78,0.17465234974224586,1.4156378600823047e-05
79,0.025274020968936384,1.4074074074074075e-05
80,0.023510629005613737,1.3991769547325105e-05
81,0.09048116527264938,1.3909465020576133e-05
82,0.008648415925563313,1.3827160493827162e-05
83,0.005216131510678679,1.374485596707819e-05
84,0.10033877444220707,1.366255144032922e-05
85,0.0511281373546808,1.3580246913580248e-05
86,0.007658722985070199,1.3497942386831278e-05
87,0.006055717502022162,1.3415637860082307e-05
88,0.20043969445396215,1.3333333333333333e-05
89,0.00728639229782857,1.3251028806584363e-05
90,0.005441573055577464,1.3168724279835392e-05
91,0.010208882682491094,1.3086419753086422e-05
92,0.07049682366778143,1.300411522633745e-05
93,0.12630838791665155,1.2921810699588477e-05
94,0.119217942468822,1.2839506172839507e-05
95,0.005199866849579848,1.2757201646090535e-05
96,0.0033869184990180656,1.2674897119341565e-05
97,0.013306475288118236,1.2592592592592593e-05
98,0.18639808587613516,1.2510288065843623e-05
99,0.07101407249865588,1.242798353909465e-05
100,0.0019636535143945366,1.234567901234568e-05
101,0.4017942388309166,1.2263374485596708e-05
102,0.5447383048740448,1.2181069958847738e-05
103,0.022618849136051722,1.2098765432098767e-05
104,0.08188293949933723,1.2016460905349797e-05
105,0.3951462693803478,1.1934156378600823e-05
106,0.0011952247295994312,1.1851851851851852e-05
107,0.003230022732168436,1.1769547325102882e-05
108,0.08115484689187724,1.168724279835391e-05
109,0.4348220816027606,1.160493827160494e-05
110,0.004624600464012474,1.1522633744855968e-05
