resolution,question_type,n,correct_n,accuracy
384,negation,25,20,0.8
384,number,49,37,0.7551020408163265
384,position,31,26,0.8387096774193549
384,price,74,58,0.7837837837837838
384,text_other,321,276,0.8598130841121495
448,negation,25,22,0.88
448,number,49,39,0.7959183673469388
448,position,31,26,0.8387096774193549
448,price,74,63,0.8513513513513513
448,text_other,321,286,0.8909657320872274
560,negation,25,22,0.88
560,number,49,44,0.8979591836734694
560,position,31,28,0.9032258064516129
560,price,74,62,0.8378378378378378
560,text_other,321,290,0.9034267912772586
672,negation,25,24,0.96
672,number,49,45,0.9183673469387755
672,position,31,28,0.9032258064516129
672,price,74,71,0.9594594594594594
672,text_other,321,298,0.9283489096573209
784,negation,25,24,0.96
784,number,49,43,0.8775510204081632
784,position,31,29,0.9354838709677419
784,price,74,70,0.9459459459459459
784,text_other,321,300,0.9345794392523364
